SLAMBench Report run started:	2023-09-08 01:37:03

Properties:
=================

frame-limit: 0
start-frame: 0
log-file: dso_output.txt
input: /home/nrad/slambench/datasets/UZHFPV/indoor_forward_5_davis_with_gt.slam
load-slam-library: /home/nrad/slambench/build/lib/libdso-original-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
alignment-technique: new
gui: false
lifelong: false
Grey cam0-intrinsics-parameters: 0.4999709,0.6653194,0.4720705,0.519213
mode: 1
multithreading: true
vignette: 
gammaCalib: 
calib: /home/nrad/slam-eds/eds/build/dso_camera.txt
: 0.001
: 0.001
: 1
: 0.1
: 1

Statistics:
=================

Frame Number	Timestamp	AbsoluteError	OrientationError	MeanATE	MaxATE	RPE_RMSE	Duration_Frame	CPU_Memory	GPU_Memory	X	Y	Z
1	1540821096.6330070496	-nan	360.0000100179	-nan	0.0000000000	0.0000000000	0.0574490000	19111264	0	0.0000000000	0.0000000000	0.0000000000
2	1540821096.6652369499	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0361960000	30290593	0	0.0000000000	0.0000000000	0.0000000000
3	1540821096.6974689960	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0417320000	30292882	0	0.0000000000	0.0000000000	0.0000000000
4	1540821096.7297029495	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0348810000	30295363	0	0.0000000000	0.0000000000	0.0000000000
5	1540821096.7619380951	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0308000000	30297460	0	0.0000000000	0.0000000000	0.0000000000
6	1540821096.7941739559	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0311290000	30300357	0	0.0000000000	0.0000000000	0.0000000000
7	1540821096.8264091015	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0383620000	30302422	0	0.0000000000	0.0000000000	0.0000000000
8	1540821096.8586430550	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0436410000	30304487	0	0.0000000000	0.0000000000	0.0000000000
9	1540821096.8908751011	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0345400000	30306616	0	0.0000000000	0.0000000000	0.0000000000
10	1540821096.9231040478	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0363820000	30310345	0	0.0000000000	0.0000000000	0.0000000000
11	1540821096.9553279877	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0380070000	30312410	0	0.0000000000	0.0000000000	0.0000000000
12	1540821096.9875481129	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0348790000	30314475	0	0.0000000000	0.0000000000	0.0000000000
13	1540821097.0197651386	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0356080000	30316540	0	0.0000000000	0.0000000000	0.0000000000
14	1540821097.0519800186	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0347070000	30318605	0	0.0000000000	0.0000000000	0.0000000000
15	1540821097.0841920376	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0307840000	30320670	0	0.0000000000	0.0000000000	0.0000000000
16	1540821097.1164021492	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0363750000	30322735	0	0.0000000000	0.0000000000	0.0000000000
17	1540821097.1486089230	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0550740000	30324928	0	0.0000000000	0.0000000000	0.0000000000
18	1540821097.1808121204	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0414100000	30330321	0	0.0000000000	0.0000000000	0.0000000000
19	1540821097.2130150795	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0361690000	30332386	0	0.0000000000	0.0000000000	0.0000000000
20	1540821097.2452180386	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0364940000	30334451	0	0.0000000000	0.0000000000	0.0000000000
21	1540821097.2774209976	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0346650000	30336516	0	0.0000000000	0.0000000000	0.0000000000
22	1540821097.3096230030	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0373740000	30338581	0	0.0000000000	0.0000000000	0.0000000000
23	1540821097.3418231010	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0627860000	30340646	0	0.0000000000	0.0000000000	0.0000000000
24	1540821097.3740210533	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0547270000	30342711	0	0.0000000000	0.0000000000	0.0000000000
25	1540821097.4062190056	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0406340000	30344776	0	0.0000000000	0.0000000000	0.0000000000
26	1540821097.4384191036	-nan	360.0000100179	-nan	0.0000000000	-nan	0.0367800000	30346841	0	0.0000000000	0.0000000000	0.0000000000
