SLAMBench Report run started:	2023-08-21 12:52:42

Properties:
=================

frame-limit: 0
start-frame: 0
log-file: events_UZH2.txt
input: ./datasets/UZHFPV/indoor_forward_11_davis.slam
load-slam-library: ./build/lib/libevent-cpp-library.so
dse: false
help: false
realtime-mode: false
realtime-multiplier: 1
file-output: 
alignment-technique: new
gui: false
lifelong: false
Grey cam0-intrinsics-parameters: 0.4999709,0.6653194,0.4720705,0.519213

Statistics:
=================

Frame Number	Timestamp	Duration_Frame	CPU_Memory	GPU_Memory	X	Y	Z
1	1540823970.6330456734	0.0193240000	1360	0	0.0000000000	0.0000000000	0.0000000000
2	1540823970.6330456734	0.0100390000	2536	0	0.0000000000	0.0000000000	0.0000000000
3	1540823970.6330456734	0.0100320000	4136	0	0.0000000000	0.0000000000	0.0000000000
4	1540823970.6558756828	0.0100830000	6992	0	0.0000000000	0.0000000000	0.0000000000
5	1540823970.6761806011	0.0100580000	10296	0	0.0000000000	0.0000000000	0.0000000000
6	1540823970.6761806011	0.0100520000	11496	0	0.0000000000	0.0000000000	0.0000000000
7	1540823970.7016215324	0.0100800000	15104	0	0.0000000000	0.0000000000	0.0000000000
8	1540823970.7016215324	0.0100430000	17696	0	0.0000000000	0.0000000000	0.0000000000
9	1540823970.7242546082	0.0101550000	19624	0	0.0000000000	0.0000000000	0.0000000000
10	1540823970.7459316254	0.0100780000	23056	0	0.0000000000	0.0000000000	0.0000000000
11	1540823970.7459316254	0.0100480000	25088	0	0.0000000000	0.0000000000	0.0000000000
12	1540823970.7749946117	0.0101000000	28248	0	0.0000000000	0.0000000000	0.0000000000
13	1540823970.7749946117	0.0100230000	31288	0	0.0000000000	0.0000000000	0.0000000000
14	1540823970.8006486893	0.0100660000	33104	0	0.0000000000	0.0000000000	0.0000000000
15	1540823970.8224127293	0.0100800000	36520	0	0.0000000000	0.0000000000	0.0000000000
16	1540823970.8224127293	0.0100430000	38440	0	0.0000000000	0.0000000000	0.0000000000
17	1540823970.8429646492	0.0101310000	40704	0	0.0000000000	0.0000000000	0.0000000000
18	1540823970.8644225597	0.0100960000	44376	0	0.0000000000	0.0000000000	0.0000000000
19	1540823970.8644225597	0.0193470000	45960	0	0.0000000000	0.0000000000	0.0000000000
20	1540823970.8860785961	0.0100360000	48672	0	0.0000000000	0.0000000000	0.0000000000
21	1540823970.9065315723	0.0100630000	51976	0	0.0000000000	0.0000000000	0.0000000000
22	1540823970.9065315723	0.0100300000	53112	0	0.0000000000	0.0000000000	0.0000000000
23	1540823970.9268095493	0.0101840000	56160	0	0.0000000000	0.0000000000	0.0000000000
24	1540823970.9268095493	0.0100730000	59424	0	0.0000000000	0.0000000000	0.0000000000
25	1540823970.9627137184	0.0100510000	62136	0	0.0000000000	0.0000000000	0.0000000000
26	1540823970.9627137184	0.0102600000	65624	0	0.0000000000	0.0000000000	0.0000000000
27	1540823970.9863705635	0.0100820000	66656	0	0.0000000000	0.0000000000	0.0000000000
28	1540823971.0074965954	0.0100560000	70072	0	0.0000000000	0.0000000000	0.0000000000
29	1540823971.0074965954	0.0100330000	72888	0	0.0000000000	0.0000000000	0.0000000000
30	1540823971.0425286293	0.0100830000	75936	0	0.0000000000	0.0000000000	0.0000000000
31	1540823971.0425286293	0.0100400000	79088	0	0.0000000000	0.0000000000	0.0000000000
32	1540823971.0670146942	0.0100900000	80568	0	0.0000000000	0.0000000000	0.0000000000
33	1540823971.0892786980	0.0100650000	83984	0	0.0000000000	0.0000000000	0.0000000000
34	1540823971.0892786980	0.0100880000	86864	0	0.0000000000	0.0000000000	0.0000000000
